时代序号,时代目录,补入文件,来源文件,字节数,SHA256
25,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/背景图/第四轮_背景.png,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/第四轮_大型建筑外观/第4轮_背景_01.png,2702529,9c7faf4be07250d60378710834869a8e00d859aa1293614c7badcc1ca57d078a
25,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/背景图/第四轮_背景_02.png,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/第四轮_大型建筑外观/第4轮_背景_02.png,2681015,3bc168879be67967815f0b60e686b18e7577fdd8ca8a7b05ed6cfce7b2761914
26,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/背景图/第三轮_背景.png,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/第三轮_室外大场景/第3轮_背景_01.png,2801990,d62d52a8c8e4ef493a90fa64306e771cbf27138c9a6254366bc21eb32800e62a
26,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/背景图/第四轮_背景.png,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/第四轮_大型建筑外观/第4轮_背景_01.png,2767497,0465006006fe86eeb87ca3ec2015bbe8668cb835b12c4dbca5c72aea5c390b32
26,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/背景图/第四轮_背景_02.png,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/第四轮_大型建筑外观/第4轮_背景_02.png,3297537,50fa4390884d772f786a10dbb87434148779d492ae6a22d2bc9f518d39a70b3b
27,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/背景图/第三轮_背景.png,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/第三轮_室外大场景/第3轮_背景_01.png,3351609,4c9f8b9e6bc7736ed34fb0df5011df6391e04d0f55e51bd94389f97973bd459e
27,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/背景图/第四轮_背景.png,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/第四轮_大型建筑外观/第4轮_背景_01.png,3147163,ce565bf0343ee736e82b81c66cb32b4ab799c5f20c6f21a89d0e971e18aa4325
28,28_图24_革命时期的市民登记：军功、姓氏与有限资格,28_图24_革命时期的市民登记：军功、姓氏与有限资格/背景图/第三轮_背景.png,28_图24_革命时期的市民登记：军功、姓氏与有限资格/第三轮_室外大场景/第3轮_背景_01.png,3171278,ed8028f1736e4054d766e087a40ec8effcb00cf7156a5c5f1d232be3d32ae10a
28,28_图24_革命时期的市民登记：军功、姓氏与有限资格,28_图24_革命时期的市民登记：军功、姓氏与有限资格/背景图/第四轮_背景.png,28_图24_革命时期的市民登记：军功、姓氏与有限资格/第四轮_大型建筑外观/第4轮_背景_01.png,2676316,9724b37a52d74b9186eec03096c67464b6761d4791b422de00e782c398b6162e
29,29_图25_一八四八年的印刷工场：校字、油墨与街头政治,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/背景图/第三轮_背景.png,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/第三轮_室外大场景/第3轮_背景_01.png,3019358,133b61e2eeb7f25010a4948723bc16a920ceb698993437b9ab0408004d35854c
29,29_图25_一八四八年的印刷工场：校字、油墨与街头政治,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/背景图/第四轮_背景.png,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/第四轮_大型建筑外观/第4轮_背景_01.png,2868188,93e26b3c5639607255c135a969d5dd3210610ab6a0e1e93d6de556f505ab97af
30,30_图26_工业工厂：机器危险、固定工时与劳工争执,30_图26_工业工厂：机器危险、固定工时与劳工争执/背景图/第三轮_背景.png,30_图26_工业工厂：机器危险、固定工时与劳工争执/第三轮_室外大场景/第3轮_背景_01.png,3064109,36d29eaee713077c5d36110f2632b80a4d76f79d415449cb0781368a97f05400
30,30_图26_工业工厂：机器危险、固定工时与劳工争执,30_图26_工业工厂：机器危险、固定工时与劳工争执/背景图/第四轮_背景.png,30_图26_工业工厂：机器危险、固定工时与劳工争执/第四轮_大型建筑外观/第4轮_背景_01.png,2531584,e6fa8f08e932e38ce3f1614112a459ff6f501f7287f5c6cddb85eada61cc3584
31,31_图27_工业战争的混编阵地：警报、指挥与救护,31_图27_工业战争的混编阵地：警报、指挥与救护/背景图/第三轮_背景.png,31_图27_工业战争的混编阵地：警报、指挥与救护/第三轮_室外大场景/第3轮_背景_01.png,3108100,fb057c8547c45e1789e823b3eb024733b68c8c74bf8c3343f07e97cf7dfd0194
31,31_图27_工业战争的混编阵地：警报、指挥与救护,31_图27_工业战争的混编阵地：警报、指挥与救护/背景图/第四轮_背景.png,31_图27_工业战争的混编阵地：警报、指挥与救护/第四轮_大型建筑外观/第4轮_背景_01.png,2855049,446288114c6e51fc0829fa7b2cd7ba6a1af4e66d7d76d1a34efd55084f4e4285
32,32_图28_近代技术学堂：分段教学、实作与共同受益,32_图28_近代技术学堂：分段教学、实作与共同受益/背景图/第三轮_背景.png,32_图28_近代技术学堂：分段教学、实作与共同受益/第三轮_室外大场景/第3轮_背景_01.png,3152849,a5b56bbf9debd750e532bc400045c095819009c06ad0098d565c0fbab94f9551
32,32_图28_近代技术学堂：分段教学、实作与共同受益,32_图28_近代技术学堂：分段教学、实作与共同受益/背景图/第四轮_背景.png,32_图28_近代技术学堂：分段教学、实作与共同受益/第四轮_大型建筑外观/第4轮_背景_01.png,3082113,630bd8aae29c4e1050b2d8508443ee752b5c9de0d663cf5811b977cecfbf8145
33,33_图29_工业铁路城市：站台警报、电报与现场救护,33_图29_工业铁路城市：站台警报、电报与现场救护/背景图/第三轮_背景.png,33_图29_工业铁路城市：站台警报、电报与现场救护/第三轮_室外大场景/第3轮_背景_01.png,3013254,533eb13517738ecfa74053571b8ca1418bc1e7b80119379fb9cb9394ab79d129
33,33_图29_工业铁路城市：站台警报、电报与现场救护,33_图29_工业铁路城市：站台警报、电报与现场救护/背景图/第四轮_背景.png,33_图29_工业铁路城市：站台警报、电报与现场救护/第四轮_大型建筑外观/第4轮_背景_01.png,2540919,c3fb91d618e8c9037b951184aaaec628910de57c6775c109ea390506e5bbc346
34,34_图30_十九世纪都市医院：独立血液链与综合医疗,34_图30_十九世纪都市医院：独立血液链与综合医疗/背景图/第三轮_背景.png,34_图30_十九世纪都市医院：独立血液链与综合医疗/第三轮_室外大场景/第3轮_背景_01.png,2892239,307062ff52186dccfaeb13e7ea39edc5ba4fc13c6104873982d4ba7e86f9e3c3
34,34_图30_十九世纪都市医院：独立血液链与综合医疗,34_图30_十九世纪都市医院：独立血液链与综合医疗/背景图/第四轮_背景.png,34_图30_十九世纪都市医院：独立血液链与综合医疗/第四轮_大型建筑外观/第4轮_背景_01.png,2731658,aa7ab2513e6ba777dd287dfe91eb1353b80eb585d93e21e85ba3a58985dbaff4
35,35_图31_世纪末百货：适体服装、身体边界与商业模仿,35_图31_世纪末百货：适体服装、身体边界与商业模仿/背景图/第三轮_背景.png,35_图31_世纪末百货：适体服装、身体边界与商业模仿/第三轮_室外大场景/第3轮_背景_01.png,2968473,a9d9fab9326828247535d79c6ee8dd7cd7095f4757de6a417ef13eee82c4a3f3
35,35_图31_世纪末百货：适体服装、身体边界与商业模仿,35_图31_世纪末百货：适体服装、身体边界与商业模仿/背景图/第四轮_背景.png,35_图31_世纪末百货：适体服装、身体边界与商业模仿/第四轮_大型建筑外观/第4轮_背景_01.png,3152689,c2c18a5d27f27eadb74e7487b9118a1e125539f91eff476187f9c5046716bdad
36,36_图32_明治日本的迟来引入：港口登记、测量与争辩,36_图32_明治日本的迟来引入：港口登记、测量与争辩/背景图/第三轮_背景.png,36_图32_明治日本的迟来引入：港口登记、测量与争辩/第三轮_室外大场景/第3轮_背景_01.png,3300525,3d8bbe1ee0cb3ac2508e4c7092f0d9d3be2310c227173c8eba547b166e543ad4
36,36_图32_明治日本的迟来引入：港口登记、测量与争辩,36_图32_明治日本的迟来引入：港口登记、测量与争辩/背景图/第四轮_背景.png,36_图32_明治日本的迟来引入：港口登记、测量与争辩/第四轮_大型建筑外观/第4轮_背景_01.png,2650152,e0ce9ad4b360241b8987930023e5f628ce9f4b39330d38ad651d16443a16a65f
37,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/背景图/第三轮_背景.png,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/第三轮_室外大场景/第3轮_背景_01.png,2912778,5cb8efe6f65c960bed1f11159a9296f75422a7efe58f5010994a6d8bbfecbe7c
37,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/背景图/第四轮_背景.png,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/第四轮_大型建筑外观/第4轮_背景_01.png,2376189,7e0bdb469952b4040daa3b52d057f608d4863e1712f4ad101ddd7a59c949c28d
38,38_图34_一九〇〇年巴黎万国大展会：观看与反观看,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/背景图/第三轮_背景.png,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/第三轮_室外大场景/第3轮_背景_01.png,3031866,c6a03a524727a2013147e97062500ab8fd4eb4e63653fff95dddf23b1a253e1e
38,38_图34_一九〇〇年巴黎万国大展会：观看与反观看,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/背景图/第四轮_背景.png,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/第四轮_大型建筑外观/第4轮_背景_01.png,3265271,ff0a92784e4ecdd27a5eee0b13f9d73816110d441168a680e4ae58d1086da93b
39,39_图35_混合家庭的城市住宅：分别登记与多尺度生活,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/背景图/第三轮_背景.png,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/第三轮_室外大场景/第3轮_背景_01.png,3165650,d713f16d30b630f246fe01b1fa46f21ef589ed216d04d392d9d63dc9af6e390b
39,39_图35_混合家庭的城市住宅：分别登记与多尺度生活,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/背景图/第四轮_背景.png,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/第四轮_大型建筑外观/第4轮_背景_01.png,2716084,d622ba4e43c1c2cf8466d0b1f1f1bca3a8e7699da97f5ca569c625318bb65093
40,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/背景图/第三轮_背景.png,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/第三轮_室外大场景/第3轮_背景_01.png,3005436,19ca822de4b93aa5abc3d29f96373a85ea1842ff8d1b6780becee2684c6f0d31
40,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/背景图/第四轮_背景.png,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/第四轮_大型建筑外观/第4轮_背景_01.png,2677416,7cbf59d5e238613eff26bd28fdc387bf348e56e835c95d24848a4ae93565bc98
41,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/背景图/第三轮_背景.png,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/第三轮_室外大场景/第3轮_背景_01.png,2963522,a50338007fdbde6dcca259d2a8e6c3c15e0c1c8d9e76e2af262092c99897c475
41,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/背景图/第四轮_背景.png,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/第四轮_大型建筑外观/第4轮_背景_01.png,2984361,9999d7504ee27defece28046c987629368ac3450d6ddda104f6f7130e0547963
